,demo_url,X,team_1,score,team_2,league,type,date
147,https://www.hltv.org/download/demo/56517,147,Rysix,0 - 2,ex-UP,Liga DELL #3 - MAR/20,bo3,30th of March 2020
148,https://www.hltv.org/download/demo/56516,148,Liquid,1 - 2,FURIA,ESL Pro League Season 11 North America,bo3,29th of March 2020
149,https://www.hltv.org/download/demo/56515,149,Vexed,1 - 2,Salamander,ESEA Advanced Season 33 Europe,bo3,29th of March 2020
150,https://www.hltv.org/download/demo/56514,150,MAD Lions,2 - 0,Chaos,Flashpoint 1,bo3,29th of March 2020
151,https://www.hltv.org/download/demo/56510,151,G2,2 - 1,FaZe,ESL Pro League Season 11 Europe,bo3,29th of March 2020
152,https://www.hltv.org/download/demo/56509,152,Prima,1 - 2,SKADE,ESEA Advanced Season 33 Europe,bo3,29th of March 2020
153,https://www.hltv.org/download/demo/56508,153,Akatsuki,3 - 2,NoSurrender,Baltic Masters Season 4 Finals,bo5,29th of March 2020
154,https://www.hltv.org/download/demo/56507,154,Hard Legion,3 - 0,1WIN,MEGOGO Open,bo5,29th of March 2020
155,https://www.hltv.org/download/demo/56506,155,mousesports,1 - 2,OG,ESL Pro League Season 11 Europe,bo3,29th of March 2020
156,https://www.hltv.org/download/demo/56513,156,rozu,2 - 1,Esper,ESEA MDL Season 33 Australia Relegation,bo3,29th of March 2020
157,https://www.hltv.org/download/demo/56512,157,Esper,0 - 2,Mako,ESEA MDL Season 33 Australia Relegation,bo3,29th of March 2020
158,https://www.hltv.org/download/demo/56511,158,Incept,2 - 0,rozu,ESEA MDL Season 33 Australia Relegation,bo3,29th of March 2020
159,https://www.hltv.org/download/demo/56505,159,Trivium,2 - 1,Serac,ESEA Advanced Season 33 North America,bo3,29th of March 2020
160,https://www.hltv.org/download/demo/56503,160,ETHEREAL,1 - 2,Faint,ESEA Advanced Season 33 North America,bo3,29th of March 2020
161,https://www.hltv.org/download/demo/56502,161,Buffdaddy's Paypal,2 - 0,Polar Ace,ESEA Advanced Season 33 North America,bo3,29th of March 2020
162,https://www.hltv.org/download/demo/56501,162,9z,1 - 2,Imperial,Aorus League 2020 #1 Finals,bo3,29th of March 2020
163,https://www.hltv.org/download/demo/56500,163,Rysix,2 - 0,Neverest,Liga DELL #3 - MAR/20,bo3,29th of March 2020
164,https://www.hltv.org/download/demo/56504,164,Station7,1 - 2,AA,eFire Master League North America,bo3,29th of March 2020
165,https://www.hltv.org/download/demo/56498,165,Liquid,2 - 0,100 Thieves,ESL Pro League Season 11 North America,bo3,28th of March 2020
166,https://www.hltv.org/download/demo/56497,166,MIBR,2 - 0,Orgless,Flashpoint 1,bo3,28th of March 2020
167,https://www.hltv.org/download/demo/56499,167,mousesports,2 - 1,FaZe,ESL Pro League Season 11 Europe,bo3,28th of March 2020
168,https://www.hltv.org/download/demo/56496,168,Dignitas,0 - 2,Gen.G,Flashpoint 1,bo3,28th of March 2020
169,https://www.hltv.org/download/demo/56491,169,Bogatiri,0 - 2,1WIN,MEGOGO Open,bo3,28th of March 2020
170,https://www.hltv.org/download/demo/56489,170,G2,2 - 1,TYLOO,ESL Pro League Season 11 Europe,bo3,28th of March 2020
171,https://www.hltv.org/download/demo/56490,171,Unique,0 - 2,Hard Legion,MEGOGO Open,bo3,28th of March 2020
172,https://www.hltv.org/download/demo/56495,172,MARKandLARRY,2 - 1,Incept,ESEA MDL Season 33 Australia Relegation,bo3,28th of March 2020
173,https://www.hltv.org/download/demo/56494,173,FURY,2 - 1,Esper,ESEA MDL Season 33 Australia Relegation,bo3,28th of March 2020
174,https://www.hltv.org/download/demo/56493,174,Mako,2 - 0,ex-MC Academy,ESEA MDL Season 33 Australia Relegation,bo3,28th of March 2020
175,https://www.hltv.org/download/demo/56492,175,rozu,2 - 0,Draconic,ESEA MDL Season 33 Australia Relegation,bo3,28th of March 2020
176,https://www.hltv.org/download/demo/56487,176,Asterius,16 - 11,ex-UP,Liga DELL #3 - MAR/20,trn,28th of March 2020
177,https://www.hltv.org/download/demo/56486,177,Evil Geniuses,1 - 2,100 Thieves,ESL Pro League Season 11 North America,bo3,27th of March 2020
178,https://www.hltv.org/download/demo/56485,178,Cloud9,1 - 2,Envy,Flashpoint 1,bo3,27th of March 2020
179,https://www.hltv.org/download/demo/56488,179,Ambush,1 - 2,Salamander,ESEA Advanced Season 33 Europe,bo3,27th of March 2020
180,https://www.hltv.org/download/demo/56480,180,SKADE,0 - 2,Tricked,SECTOR: MOSTBET Season 2,bo3,27th of March 2020
181,https://www.hltv.org/download/demo/56479,181,Copenhagen Flames,0 - 2,HAVU,Flashpoint 1,bo3,27th of March 2020
182,https://www.hltv.org/download/demo/56478,182,Swole Patrol,2 - 0,Liquid,ESL Pro League Season 11 North America,bo3,27th of March 2020
183,https://www.hltv.org/download/demo/56477,183,OG,2 - 0,TYLOO,ESL Pro League Season 11 Europe,bo3,27th of March 2020
184,https://www.hltv.org/download/demo/56476,184,Espada,2 - 0,Pompa,SECTOR: MOSTBET Season 2,bo3,27th of March 2020
185,https://www.hltv.org/download/demo/56484,185,Esper,2 - 1,Draconic,ESEA MDL Season 33 Australia Relegation,bo3,27th of March 2020
186,https://www.hltv.org/download/demo/56483,186,Incept,2 - 0,ex-MC Academy,ESEA MDL Season 33 Australia Relegation,bo3,27th of March 2020
187,https://www.hltv.org/download/demo/56482,187,Mako,0 - 2,MARKandLARRY,ESEA MDL Season 33 Australia Relegation,bo3,27th of March 2020
188,https://www.hltv.org/download/demo/56481,188,FURY,2 - 0,rozu,ESEA MDL Season 33 Australia Relegation,bo3,27th of March 2020
189,https://www.hltv.org/download/demo/56475,189,Serac,2 - 1,Rise,ESEA Advanced Season 33 North America,bo3,27th of March 2020
190,https://www.hltv.org/download/demo/56474,190,Big Chillin,2 - 1,Prospects,ESEA Advanced Season 33 North America,bo3,27th of March 2020
191,https://www.hltv.org/download/demo/56473,191,timbermen,2 - 0,Dogs of War,ESEA Advanced Season 33 North America,bo3,27th of March 2020
192,https://www.hltv.org/download/demo/56472,192,Front,0 - 2,Trivium,ESEA Advanced Season 33 North America,bo3,27th of March 2020
193,https://www.hltv.org/download/demo/56471,193,Vexed,1 - 2,Endpoint,ESEA Advanced Season 33 Europe,bo3,26th of March 2020
194,https://www.hltv.org/download/demo/56470,194,Liquid,2 - 0,MIBR,ESL Pro League Season 11 North America,bo3,26th of March 2020
195,https://www.hltv.org/download/demo/56469,195,ALTERNATE aTTaX,2 - 0,Prima,ESEA Advanced Season 33 Europe,bo3,26th of March 2020
